レコード番号,手配,納品先名,受注番号_行,商品コ－ド,才数,才数2,数量,才数計,計算,出荷日,納品日,出荷数計,運送便コード
79564,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V255641_4,CNS-120WW25VZ0D,7.9,0,4,31.6,2026/1/29,2026/1/29,2026/1/30,,1S
79565,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V254651_1,NANS-L1C-G2M11,7.4,0,1,7.4,2026/1/29,2026/1/29,2026/1/30,,1S
79566,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V252101_6,XYS-BWSSS21K9L6F,9.7,0,1,9.7,2026/1/29,2026/1/29,2026/1/30,,1S
79567,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V251202_5,XYS-BWSSS21K9C2F,9.7,0,1,9.7,2026/1/29,2026/1/29,2026/1/30,,1S
79568,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V248961_8,XYS-BWSSS15K9C2F,7,0,1,7,2026/1/29,2026/1/29,2026/1/30,,1S
79569,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V248951_8,XYS-BWSSS15K9C2F,7,0,1,7,2026/1/29,2026/1/29,2026/1/30,,1S
79570,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V248951_5,XYS-BWSSS15K9C2F,7,0,1,7,2026/1/29,2026/1/29,2026/1/30,,1S
79571,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V247491_3,NTKGH-R1412-MT12,21.6,0,1,21.6,2026/1/29,2026/1/29,2026/1/30,,1S
79572,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V245421_4,XYR-BWSS12K9C2F,5.2,0,1,5.2,2026/1/29,2026/1/29,2026/1/30,,1S
79573,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V228752_4,NAN-S1C-G2M11,3.6,0,1,3.6,2026/1/29,2026/1/29,2026/1/30,,1S
79574,冨士ファニチア㈱,㈱ｺｸﾖﾛｼﾞﾃﾑ 滋賀配送ｾﾝﾀｰ,V228721_3,NAN-S1C-G2M11,3.6,0,1,3.6,2026/1/29,2026/1/29,2026/1/30,,1S
